bill_id,positive,neutral,negative
1696211,0.16231011,0.676812,0.16087788
1862762,0.64165807,0.2848724,0.07346956
1862691,0.0038829893,0.15102625,0.84509075
1642978,0.0066887806,0.65870494,0.33460623
1856477,0.060650874,0.71873796,0.22061113
1854078,0.32958886,0.6114406,0.05897055
1665537,0.098010115,0.62039053,0.28159934
1852135,0.39664823,0.4840529,0.11929894
1843547,0.017614642,0.295245,0.68714035
1726974,0.6585171,0.32259387,0.018889097
1849243,0.10848909,0.5679326,0.3235782
1730184,0.06540942,0.53777784,0.39681277
1738349,0.14131661,0.49687633,0.36180714
1723284,0.5484992,0.37317586,0.078324914
1741715,0.12668099,0.4499164,0.4234025
1738300,0.38603905,0.4248182,0.18914284
1843583,0.5559108,0.22257386,0.2215154
1696355,0.45685184,0.49378672,0.04936144
1710755,0.17700897,0.7177228,0.10526822
1659313,0.69208574,0.11663774,0.1912765
1725879,0.6823209,0.29066148,0.0270176
1641999,0.02309003,0.6156802,0.36122984
1700352,0.6823666,0.29803687,0.019596543
1696282,0.053774815,0.7921686,0.15405655
1847200,0.15414692,0.49463478,0.3512185
1861883,0.36929,0.59294856,0.037761483
1685453,0.1432245,0.26668715,0.5900883
1645958,0.026961999,0.23408432,0.73895365
1715539,0.28294715,0.6591825,0.057870414
1705012,0.13580121,0.5942464,0.2699525
1704378,0.4187397,0.5350327,0.04622759
1724409,0.6846711,0.24741524,0.06791366
1725428,0.12241606,0.85487074,0.022713246
1724594,0.2197382,0.53885394,0.24140783
1870134,0.4243303,0.37798846,0.19768128
1843749,0.037601512,0.62956107,0.33283734
1705624,0.026028777,0.44820598,0.52576524
1842576,0.076813065,0.47248435,0.45070267
1680597,0.29273129,0.6476591,0.0596096
1826009,0.5405312,0.3537251,0.10574361
1647915,0.37319008,0.53418756,0.09262245
1866482,0.6237938,0.24513936,0.13106683
1766177,0.16067573,0.80274606,0.036578245
1643779,0.5806134,0.38081977,0.038566966
1847851,0.3017549,0.6175659,0.08067937
1760635,0.7995906,0.19058716,0.009822317
1785425,0.22051011,0.6774891,0.10200088
1803929,0.14191552,0.7882223,0.06986206
1691421,0.33549872,0.32804963,0.33645162
1739135,0.0056008566,0.32594132,0.6684578
1797055,0.018124007,0.51399404,0.4678819
1722772,0.45626408,0.50068486,0.043051075
1796066,0.13744554,0.29932562,0.5632289
1795237,0.24582934,0.5271639,0.22700675
1721345,0.3681982,0.43010953,0.2016923
1690095,0.372687,0.4802488,0.107561804
1655545,0.33087146,0.47607657,0.1930519
1653992,0.048838083,0.4449836,0.50617826
1684387,0.27047053,0.54093987,0.18858965
1684552,0.3056315,0.46839434,0.22597417
1719827,0.18513967,0.62881494,0.18604548
1669497,0.49047044,0.4624559,0.047073666
1669412,0.22010261,0.5034244,0.27647287
1864797,0.30837715,0.49175364,0.19986922
1677576,0.17476241,0.5802554,0.24498221
1723854,0.07195047,0.729439,0.6574886
1755743,0.018693406,0.5344325,0.5157391
1761968,0.15336421,0.5319488,0.37858456
1775842,0.079388075,0.7135341,0.20707794
1813552,0.022194784,0.53312683,0.44467837
1753411,0.0,0.0,0.0
1636388,0.607546,0.32171714,0.070737004
1714707,0.28410095,0.5756621,0.14023696
1714560,0.36899322,0.574254,0.056752767
1714481,0.36252713,0.25975868,0.37771422
1714577,0.46191925,0.47314888,0.06493193
1712186,0.0769288,0.57639635,0.34667495
1701001,0.13814989,0.38209033,0.47975978
1712092,0.12295303,0.5106143,0.36643267
1681541,0.41704497,0.3302619,0.2526932
1712167,0.3035359,0.502336,0.19412811
1689312,0.03287713,0.31313753,0.6539854
1714407,0.27072918,0.52970636,0.25897723
1709940,0.27758357,0.46729,0.25512645
1709876,0.13776411,0.5903157,0.27192014
1693952,0.17509592,0.4643615,0.28926554
1702812,0.0453643,0.41257733,0.36721298
1697081,0.5734187,0.38423157,0.04234986
1712144,0.17866445,0.55282193,0.3741575
1711917,0.5578267,0.36730146,0.074871734
1726105,0.36913538,0.5854047,0.04545989
1714404,0.13192622,0.35118747,0.5168863
1689326,0.06912225,0.5050145,0.4358923
1709893,0.28605375,0.50188714,0.2120589
1714634,0.099395014,0.7801364,0.12046848
1705903,0.48602116,0.4657437,0.048235178
1712080,0.6019456,0.22217976,0.17587459
1714444,0.110229075,0.7684973,0.121273726
1834300,0.17142141,0.42174122,0.4068373
1697071,0.3918808,0.5780967,0.18621582
1702745,0.02328994,0.7475634,0.72427344
1714468,0.030993111,0.44531786,0.41432488
1714319,0.23157601,0.6407565,0.40918037
1714453,0.40857282,0.4783885,0.06981566
1837743,0.08718699,0.41784504,0.4949679
1848607,0.27974978,0.669705,0.05054529
1848538,0.5571882,0.40320286,0.03960896
1837747,0.30334765,0.33114648,0.36550587
1849662,0.0847801,0.48425886,0.43096098
1814923,0.6124025,0.35577527,0.031822357
1849698,0.60648984,0.3672126,0.026297394
1846263,0.15151244,0.3989447,0.44954285
1829039,0.1972819,0.6188166,0.18390152
1705952,0.36646646,0.36700472,0.26652873
1708880,0.13740122,0.5097198,0.35287896
1855776,0.09238606,0.5424683,0.36514574
1661677,0.14900118,0.32471526,0.5262836
1696885,0.08233798,0.32180882,0.5958532
1653748,0.103439,0.43723187,0.45932913
1842395,0.27710414,0.43293175,0.2899641
1696234,0.11249715,0.59726626,0.29023665
1699284,0.37905225,0.3709094,0.25003833
1702412,0.0,0.0,0.0
1702209,0.45971948,0.26469505,0.2755856
1716855,0.13328955,0.49279782,0.37391266
1703959,0.26176253,0.512419,0.22581851
1852240,0.108181015,0.7049138,0.18690516
1821390,0.36556444,0.3782889,0.25614676
1696808,0.12515694,0.52402073,0.35082227
1713272,0.56847745,0.27455816,0.15696453
1713262,0.6385456,0.32801777,0.03343661
1810626,0.5586236,0.34502384,0.0963526
1810506,0.5476045,0.35217276,0.10022268
1713674,0.5962136,0.3437589,0.060027525
1841362,0.0037719393,0.10476949,0.89145863
1698159,0.106891826,0.69470483,0.19840333
1733628,0.14667831,0.54887533,0.30444643
1739465,0.47368592,0.36240575,0.16390838
1739043,0.16290124,0.71225923,0.12483962
1739317,0.4095806,0.56394005,0.026479403
1740873,0.2955711,0.44983304,0.25459582
1736218,0.5415018,0.40827262,0.050225507
1781162,0.51982784,0.4525901,0.027582113
1738653,0.025523575,0.5485612,0.42591524
1733644,0.64366734,0.3402763,0.016056359
1733736,0.48823613,0.41634282,0.09542106
1776096,0.1726403,0.6577955,0.16956413
1734068,0.3037424,0.37681866,0.319439
1738036,0.30179384,0.453231,0.24497513
1733844,0.09375789,0.66527015,0.24097191
1738590,0.4095806,0.56394005,0.026479403
1735701,0.46975115,0.4565138,0.073735096
1736011,0.65007734,0.24566257,0.104260124
1736665,0.4275124,0.5243258,0.048161805
1736298,0.24843784,0.40278423,0.34877795
1742020,0.18582302,0.2674798,0.5466971
1737025,0.36677536,0.40234205,0.23088253
1738205,0.50369537,0.37044483,0.12585981
1737116,0.40882134,0.4949063,0.09627226
1777878,0.34537873,0.54000056,0.114620626
1779486,0.4616288,0.4897729,0.048598386
1834811,0.24346416,0.70544773,0.051088147
1758659,0.18236178,0.55606145,0.2615767
1683574,0.28757268,0.47544205,0.23698524
1767622,0.7163871,0.26963028,0.013982556
1725115,0.16933115,0.6523062,0.17836265
1689834,0.025351964,0.8646192,0.110028796
1820714,0.042902615,0.5729229,0.38417456
1818859,0.05058668,0.48023495,0.46917832
1818580,0.49296242,0.44767994,0.05935756
1654160,0.15514939,0.6116326,0.23321813
1697728,0.36393252,0.3551897,0.2808777
1858872,0.06073424,0.7109835,0.22828224
1762653,0.3132461,0.3824242,0.30432975
1699850,0.11889808,0.3865894,0.4945126
1833697,0.07469059,0.6834878,0.24182174
1702384,0.054351896,0.68815464,0.2574935
1720563,0.052514058,0.7856776,0.16180833
1658529,0.2690399,0.5705332,0.16042694
1812551,0.04989613,0.81109446,0.1390094
1718189,0.19447091,0.76309377,0.042435363
1716403,0.043349337,0.6558538,0.30079693
1718051,0.06352881,0.5991404,0.33733073
1747134,0.041067734,0.6902342,0.26869798
1692585,0.12830113,0.7988088,0.07288999
1640542,0.0091202585,0.08062935,0.91025037
1659132,0.4549133,0.4569883,0.088098414
1835820,0.026100636,0.44194287,0.53195655
1797131,0.0,0.0,0.0
1643746,0.06756884,0.65148216,0.28094903
1771945,0.18544091,0.63614255,0.1784165
1764852,0.018596625,0.5713119,0.41009137
1640689,0.08322743,0.69533247,0.22144012
1658341,0.14583416,0.77776706,0.07639868
1774738,0.12446035,0.71560204,0.15993752
1672611,0.17961793,0.57304186,0.24734017
1721050,0.04079797,0.72686225,0.23233974
1684104,0.24695678,0.6759394,0.07710383
1768262,0.023831362,0.737776,0.2383925
1662386,0.2518954,0.58488876,0.16321583
1643769,0.21011387,0.70597446,0.083911665
1756584,0.6714017,0.26392704,0.06467137
1723250,0.5380214,0.4201544,0.041824266
1710984,0.18160878,0.41827333,0.40011796
1659661,0.37472248,0.56099975,0.064277895
1659671,0.35598758,0.3357825,0.30823
1710996,0.35598758,0.3357825,0.30823
1724224,0.47700056,0.41334882,0.1096506
1775230,0.21378453,0.7479864,0.03822902
1772719,0.017312175,0.5027775,0.4799102
1777139,0.15857553,0.50919497,0.33222955
1775785,0.24615732,0.44850266,0.30534002
1742689,0.48002404,0.45843264,0.061543316
1799382,0.4894949,0.47839433,0.032110788
1645002,0.13156252,0.5666481,0.30178946
1645137,0.6016155,0.3526558,0.045728624
1820955,0.49931327,0.45029914,0.05038765
1670569,0.24864249,0.6467522,0.104605235
1676411,0.1266772,0.49026537,0.38305748
1659287,0.16117772,0.7993213,0.039500903
1666558,0.14398216,0.80554724,0.05047061
1813793,0.4328486,0.4494971,0.117654204
1792137,0.18285553,0.73394823,0.08319625
1678639,0.34133407,0.62871397,0.029952064
1660032,0.1160155,0.8477215,0.036263056
1644299,0.0,0.0,0.0
1643227,0.14315233,0.5399929,0.3168548
1651449,0.3157296,0.5946535,0.0896169
1774371,0.45513666,0.502815,0.042048275
1794963,0.29604504,0.46198913,0.24196577
1867062,0.68077374,0.69270504,0.0119312685
1872067,0.25360128,0.32121873,0.06761754
1855960,0.20987205,0.6831667,0.10696121
1696160,0.2686713,0.644452,0.08687665
1781396,0.044238847,0.8534564,0.102304794
1757417,0.035567027,0.5756347,0.38879818
1778509,0.43859002,0.5315217,0.029888289
1778468,0.38608676,0.585265,0.028648227
1777975,0.45413652,0.4259516,0.11991195
1777919,0.33734018,0.5128253,0.14983448
1779093,0.26179752,0.42188677,0.31631562
1724976,0.17934953,0.3220538,0.49859667
1835790,0.01180699,0.444645,0.5435481
1835624,0.012349075,0.37570578,0.61194515
1689587,0.070410326,0.68778664,0.24180311
1768180,0.6842646,0.2714198,0.044315595
1689574,0.09744586,0.5919625,0.31059164
1769572,0.26023194,0.53873277,0.20103535
1774966,0.19241413,0.3558999,0.45168588
1774803,0.46138743,0.5112624,0.02735013
1771094,0.52904177,0.3112751,0.15968305
1772822,0.022143664,0.6277556,0.35010073
1772447,0.11794622,0.34707794,0.5349759
1772450,0.33245227,0.59762734,0.069920495
1771335,0.016383018,0.3779221,0.6056949
1771164,0.39553216,0.5729651,0.031502694
1779156,0.55239147,0.4265177,0.021090843
1775918,0.3385041,0.2542376,0.40725824
1779108,0.43029618,0.53905976,0.030644098
1758001,0.23194529,0.44786233,0.32019243
1757049,0.18221238,0.7288569,0.08893066
1789530,0.34629774,0.34147412,0.3122281
1784099,0.09516503,0.8104464,0.09438858
1702956,0.04453479,0.18706554,0.7683998
1783122,0.39786398,0.41365454,0.1884815
1826216,0.42106327,0.2996411,0.27929556
1771346,0.26659432,0.34773406,0.3856716
1751465,0.7995906,0.19058716,0.009822317
1745337,0.50769323,0.31217533,0.18013148
1800457,0.4117003,0.51677394,0.07152581
1839496,0.26245582,0.26586977,0.47167447
1819439,0.121165685,0.44273895,0.32157335
1799284,0.32551926,0.30192515,0.3725556
1811920,0.27042067,0.6806023,0.048976935
1836842,0.0785443,0.6713029,0.25015283
1813574,0.38843495,0.4231189,0.03468397
1793868,0.140578,0.81011033,0.049311552
1793957,0.13651039,0.822013,0.041476563
1800437,0.112619095,0.719926,0.16745476
1839458,0.40269375,0.35397747,0.24332881
1810097,0.0,0.0,0.0
1794111,0.13025452,0.6275574,0.24218813
1847691,0.082831696,0.88340205,0.03376627
1826611,0.1683423,0.72290146,0.10875619
1788750,0.32349828,0.45322916,0.2232725
1788273,0.09297789,0.47448885,0.38151094
1863182,0.26215336,0.64896214,0.08888442
1821469,0.015952414,0.33022645,0.6538211
1820364,0.2830124,0.44252482,0.27446282
1787153,0.23001328,0.6748143,0.09517251
1788126,0.16294166,0.5184735,0.31858486
1817891,0.115925975,0.45983216,0.424242
1819235,0.0,0.0,0.0
1780652,0.40873143,0.50631297,0.09758159
1780338,0.21014613,0.6118299,0.40168372
1780305,0.17012635,0.35386646,0.1837402
1799497,0.21596031,0.72153056,0.5055701
1800791,0.23383611,0.4984987,0.2676649
1794548,0.2461115,0.7084967,0.045391805
1824068,0.037656017,0.50377643,0.4585676
1817858,0.59260386,0.35818964,0.049206555
1837729,0.46856797,0.46835697,0.06307508
1824144,0.63957936,0.33121532,0.029205343
1830936,0.27621213,0.6592753,0.064512536
1824086,0.34456617,0.49161056,0.1638233
1798308,0.10769966,0.59805495,0.29424548
1812289,0.30901992,0.52154154,0.16943856
1835682,0.012869323,0.64976734,0.3373634
1798155,0.30196637,0.4988216,0.19921213
1837866,0.3477918,0.47771013,0.17449804
1797937,0.3379305,0.46724784,0.19482167
1837861,0.20465824,0.41292557,0.3824162
1798275,0.0,0.0,0.0
1798335,0.07180298,0.66806775,0.2601292
1817813,0.07745548,0.34826052,0.57428396
1831293,0.16788465,0.35745448,0.47466096
1842113,0.15527709,0.62332976,0.22139314
1836814,0.0077417274,0.1464219,0.84583646
1820066,0.35743353,0.4844199,0.15814656
1832715,0.021983745,0.37579113,0.6022251
1797713,0.35833442,0.4580706,0.1835949
1852738,0.3826579,0.5556082,0.06173387
1804061,0.24448723,0.42981255,0.18532525
1803991,0.30626428,0.40239957,0.29133615
1808349,0.5661237,0.39381832,0.040057905
1810547,0.268217,0.4122092,0.3195739
1811808,0.54125506,0.33944413,0.11930071
1821989,0.12922293,0.7653515,0.105425656
1810749,0.26818258,0.657448,0.07436942
1872119,0.0731441,0.59134895,0.33550698
1827248,0.19592711,0.5718506,0.23222232
1836840,0.0870386,0.49412253,0.41883883
1830667,0.62905306,0.2965874,0.074359454
1840277,0.34266272,0.2671738,0.39016345
1810779,0.26291183,0.42743805,0.30965
1856462,0.085153006,0.77378494,0.14106207
1852203,0.079099916,0.46101153,0.45988864
1862192,0.23531981,0.5991693,0.16551092
1861943,0.09531034,0.7413823,0.1633073
1815235,0.2511281,0.6776265,0.07124538
1861638,0.0872082,0.5688411,0.34395072
1816254,0.08691439,0.48771128,0.4253743
1814583,0.21275556,0.69750077,0.089743786
1815042,0.10030649,0.68769425,0.21199931
1815727,0.3541223,0.4242402,0.22163749
1816267,0.3715311,0.56895393,0.059514906
1817600,0.009637278,0.37033513,0.6200274
1815667,0.40219715,0.43962425,0.15817846
1816851,0.5661691,0.38203067,0.05180026
1816816,0.6104417,0.34100494,0.048553452
1827687,0.46458822,0.425013,0.11039866
1824311,0.2912488,0.62699735,0.08175371
1823250,0.04285091,0.63071394,0.3264351
1822513,0.26426405,0.6040686,0.13166746
1823216,0.48376787,0.46415898,0.05207317
1819384,0.49503243,0.4776061,0.027361443
1817289,0.35905698,0.5013866,0.1395564
1816281,0.03845399,0.24606995,0.71547604
1816872,0.57832706,0.4039146,0.017758366
1817150,0.36786956,0.4834309,0.1486996
1815782,0.2731665,0.44926843,0.277565
1824375,0.39330837,0.47766083,0.12903076
1814651,0.32485276,0.51543844,0.1597088
1814557,0.009637278,0.37033513,0.6200274
1822674,0.0,0.0,0.0
1862288,0.23531981,0.5991693,0.16551092
1817095,0.5141485,0.45961344,0.02623809
1825761,0.42026186,0.54806113,0.031677026
1823153,0.25796384,0.37731662,0.3647195
1819588,0.17889458,0.5757006,0.24540481
1812643,0.12446791,0.47853902,0.39699313
1855331,0.13521795,0.4820158,0.38276634
1796608,0.07828998,0.47844684,0.4432632
1795490,0.2520202,0.54990983,0.19807
1855762,0.024546854,0.29491976,0.68053335
1872604,0.017977338,0.8148157,0.16720696
1857550,0.65236276,0.32622805,0.021409132
1858732,0.07295714,0.5372592,0.38978362
1862540,0.01033844,0.18092205,0.80873954
1790507,0.33570725,0.52634174,0.13795102
1855052,0.01646133,0.55746984,0.42606872
1820644,0.18928505,0.5390761,0.27163878
1850091,0.06906002,0.7248607,0.20607917
1795732,0.31975457,0.54946184,0.13078368
1850073,0.31738445,0.56580645,0.11680915
1825521,0.101767845,0.3681413,0.26637343
1847038,0.509728,0.61620593,0.10647799
1849023,0.09688333,0.712574,0.6156905
1820822,0.38612443,0.4848259,0.1290496
1838191,0.4171765,0.47748584,0.060309377
1813426,0.078390285,0.59432745,0.5159371
1819393,0.28598854,0.48331267,0.19732411
1850019,0.67628247,0.7108598,0.03457741
1793309,0.46759677,0.41729686,0.11510645
1793614,0.15075374,0.48150927,0.367737
1793242,0.27562827,0.6042488,0.12012295
1828908,0.007677973,0.21859095,0.773731
1802957,0.09598725,0.67280275,0.23121007
1803241,0.62185454,0.35687524,0.021270186
1802912,0.029612113,0.28154722,0.6888406
1803652,0.3746452,0.52096623,0.10438845
1806783,0.041968804,0.20567402,0.7523571
1801175,0.013109995,0.90040195,0.08648812
1807371,0.60573864,0.37234586,0.021915482
1844831,0.7906857,0.19429609,0.01501826
1836180,0.28757477,0.5199514,0.23237658
1835958,0.5470989,0.3962796,0.05662155
1836057,0.09892177,0.5463132,0.354765
1808934,0.0,0.0,0.0
1822287,0.6503797,0.323324,0.026296433
1825168,0.48975027,0.3251026,0.18514714
1811160,0.56276864,0.22687124,0.21036012
1812524,0.4170273,0.17574303,0.4072297
